cve_id,published
CVE-1999-0095,1988-10-01T04:00:00.000
CVE-1999-0082,1988-11-11T05:00:00.000
CVE-1999-1471,1989-01-01T05:00:00.000
CVE-1999-1122,1989-07-26T04:00:00.000
CVE-1999-1467,1989-10-26T04:00:00.000
CVE-1999-1506,1990-01-29T05:00:00.000
CVE-1999-0084,1990-05-01T04:00:00.000
CVE-2000-0388,1990-05-09T04:00:00.000
CVE-1999-0209,1990-08-14T04:00:00.000
CVE-1999-1198,1990-10-03T04:00:00.000
CVE-1999-1391,1990-10-03T04:00:00.000
CVE-1999-1392,1990-10-03T04:00:00.000
CVE-1999-1057,1990-10-25T04:00:00.000
CVE-1999-1554,1990-10-31T05:00:00.000
CVE-1999-1197,1990-12-20T05:00:00.000
CVE-1999-1115,1990-12-31T05:00:00.000
CVE-1999-1258,1991-01-15T05:00:00.000
CVE-1999-1438,1991-02-22T05:00:00.000
CVE-1999-1211,1991-03-27T05:00:00.000
CVE-1999-1212,1991-03-27T05:00:00.000
CVE-1999-1194,1991-05-01T04:00:00.000
CVE-1999-1193,1991-05-14T04:00:00.000
CVE-1999-1123,1991-05-20T04:00:00.000
CVE-1999-1034,1991-05-23T04:00:00.000
CVE-1999-1415,1991-08-23T04:00:00.000
CVE-1999-1090,1991-09-10T04:00:00.000
CVE-1999-0498,1991-09-27T04:00:00.000
CVE-1999-1468,1991-10-22T04:00:00.000
CVE-1999-0167,1991-12-06T05:00:00.000
CVE-1999-1493,1991-12-18T05:00:00.000
CVE-1999-1032,1991-12-31T05:00:00.000
CVE-1999-1059,1992-02-25T05:00:00.000
CVE-1999-0627,1992-03-01T05:00:00.000
CVE-1999-1121,1992-03-19T05:00:00.000
CVE-1999-0117,1992-03-31T05:00:00.000
CVE-1999-1119,1992-04-27T04:00:00.000
CVE-1999-1142,1992-05-27T04:00:00.000
CVE-1999-0168,1992-06-04T04:00:00.000
CVE-1999-0214,1992-07-21T04:00:00.000
CVE-1999-1396,1992-07-21T04:00:00.000
CVE-1999-1395,1992-11-17T05:00:00.000
CVE-1999-1306,1992-12-10T05:00:00.000
CVE-1999-1466,1992-12-10T05:00:00.000
CVE-1999-1021,1992-12-30T05:00:00.000
CVE-1999-1056,1992-12-31T05:00:00.000
CVE-1999-0312,1993-01-13T05:00:00.000
CVE-1999-1507,1993-02-03T05:00:00.000
CVE-1999-1218,1993-02-18T05:00:00.000
CVE-1999-1312,1993-02-24T05:00:00.000
CVE-1999-1216,1993-04-22T04:00:00.000
CVE-1999-1162,1993-05-24T04:00:00.000
CVE-1999-0124,1993-08-09T04:00:00.000
CVE-1999-1215,1993-09-16T04:00:00.000
CVE-1999-1138,1993-09-17T04:00:00.000
CVE-1999-1318,1993-09-17T04:00:00.000
CVE-1999-0145,1993-09-30T04:00:00.000
CVE-1999-1137,1993-10-01T04:00:00.000
CVE-1999-0334,1993-12-16T05:00:00.000
CVE-1999-0181,1994-01-01T05:00:00.000
CVE-1999-1242,1994-02-07T05:00:00.000
CVE-1999-0211,1994-02-14T05:00:00.000
CVE-1999-0338,1994-02-24T05:00:00.000
CVE-1999-0120,1994-03-21T05:00:00.000
CVE-1999-1135,1994-04-20T04:00:00.000
CVE-1999-1146,1994-05-04T04:00:00.000
CVE-1999-1388,1994-05-13T04:00:00.000
CVE-1999-1134,1994-05-18T04:00:00.000
CVE-1999-0113,1994-05-23T04:00:00.000
CVE-1999-0423,1994-06-01T04:00:00.000
CVE-1999-0337,1994-06-03T04:00:00.000
CVE-1999-0207,1994-06-09T04:00:00.000
CVE-1999-1239,1994-07-13T04:00:00.000
CVE-1999-1552,1994-07-20T04:00:00.000
CVE-1999-1494,1994-08-09T04:00:00.000
CVE-1999-1219,1994-08-11T04:00:00.000
CVE-1999-1238,1994-09-21T04:00:00.000
CVE-1999-1022,1994-10-02T04:00:00.000
CVE-1999-1310,1994-11-04T05:00:00.000
CVE-1999-1248,1994-11-30T05:00:00.000
CVE-1999-1302,1994-11-30T05:00:00.000
CVE-1999-1303,1994-11-30T05:00:00.000
CVE-1999-1304,1994-11-30T05:00:00.000
CVE-1999-1305,1994-11-30T05:00:00.000
CVE-2000-0508,1994-12-19T05:00:00.000
CVE-1999-0077,1995-01-01T05:00:00.000
CVE-1999-0232,1995-02-01T05:00:00.000
CVE-1999-0235,1995-02-17T05:00:00.000
CVE-1999-0242,1995-03-01T05:00:00.000
CVE-1999-1098,1995-03-03T05:00:00.000
CVE-1999-1243,1995-03-03T05:00:00.000
CVE-1999-0151,1995-04-03T04:00:00.000
CVE-1999-1080,1995-05-10T04:00:00.000
CVE-1999-0066,1995-07-31T04:00:00.000
CVE-1999-0161,1995-07-31T04:00:00.000
CVE-1999-0172,1995-08-02T04:00:00.000
CVE-1999-0203,1995-08-17T04:00:00.000
CVE-1999-1580,1995-08-23T04:00:00.000
CVE-1999-0164,1995-08-29T04:00:00.000
CVE-1999-0155,1995-08-31T04:00:00.000
CVE-1999-0245,1995-09-07T04:00:00.000
CVE-1999-0218,1995-10-01T04:00:00.000
CVE-1999-0073,1995-10-13T04:00:00.000
CVE-1999-0099,1995-10-19T04:00:00.000
CVE-1999-0241,1995-11-01T05:00:00.000
CVE-1999-0080,1995-11-30T05:00:00.000
CVE-1999-0123,1995-12-01T05:00:00.000
CVE-1999-0316,1995-12-01T05:00:00.000
CVE-1999-0325,1995-12-01T05:00:00.000
CVE-1999-0208,1995-12-12T05:00:00.000
CVE-1999-1186,1996-01-02T05:00:00.000
CVE-1999-1319,1996-01-03T05:00:00.000
CVE-1999-1491,1996-02-02T05:00:00.000
CVE-1999-0103,1996-02-08T05:00:00.000
CVE-1999-0143,1996-02-21T05:00:00.000
CVE-1999-0233,1996-02-25T05:00:00.000
CVE-1999-0142,1996-03-01T05:00:00.000
CVE-1999-0067,1996-03-20T05:00:00.000
CVE-1999-0141,1996-03-29T05:00:00.000
CVE-1999-0070,1996-04-01T05:00:00.000
CVE-1999-1103,1996-04-03T05:00:00.000
CVE-1999-0078,1996-04-18T04:00:00.000
CVE-1999-0019,1996-04-24T04:00:00.000
CVE-1999-1314,1996-05-17T04:00:00.000
CVE-1999-1313,1996-05-23T04:00:00.000
CVE-1999-0522,1996-05-28T04:00:00.000
CVE-1999-0509,1996-05-29T04:00:00.000
CVE-1999-1205,1996-06-07T04:00:00.000
CVE-1999-1253,1996-06-07T04:00:00.000
CVE-1999-0138,1996-06-26T04:00:00.000
CVE-1999-0175,1996-07-01T04:00:00.000
CVE-1999-0022,1996-07-03T04:00:00.000
CVE-1999-0137,1996-07-09T04:00:00.000
CVE-1999-1301,1996-07-16T04:00:00.000
CVE-1999-1572,1996-07-16T04:00:00.000
CVE-1999-0023,1996-07-24T04:00:00.000
CVE-1999-0135,1996-07-25T04:00:00.000
CVE-1999-0136,1996-07-31T04:00:00.000
CVE-1999-0335,1996-08-01T04:00:00.000
CVE-1999-1413,1996-08-03T04:00:00.000
CVE-1999-0134,1996-08-06T04:00:00.000
CVE-1999-0133,1996-08-14T04:00:00.000
CVE-1999-0132,1996-08-15T04:00:00.000
CVE-1999-0085,1996-08-21T04:00:00.000
CVE-1999-1187,1996-08-26T04:00:00.000
CVE-1999-1309,1996-08-30T04:00:00.000
CVE-1999-0324,1996-09-01T04:00:00.000
CVE-1999-1252,1996-09-04T04:00:00.000
CVE-1999-0131,1996-09-11T04:00:00.000
CVE-1999-1383,1996-09-13T04:00:00.000
CVE-1999-1295,1996-09-17T04:00:00.000
CVE-1999-0116,1996-09-19T04:00:00.000
CVE-1999-0961,1996-09-21T04:00:00.000
CVE-1999-0206,1996-10-01T04:00:00.000
CVE-1999-0246,1996-10-01T04:00:00.000
CVE-1999-0308,1996-10-01T04:00:00.000
CVE-1999-0319,1996-10-01T04:00:00.000
CVE-1999-0234,1996-10-08T04:00:00.000
CVE-1999-0075,1996-10-16T04:00:00.000
CVE-1999-0032,1996-10-25T04:00:00.000
CVE-1999-0277,1996-10-28T05:00:00.000
CVE-1999-1384,1996-10-30T05:00:00.000
CVE-1999-0311,1996-11-01T05:00:00.000
CVE-1999-0336,1996-11-01T05:00:00.000
CVE-1999-1161,1996-11-03T05:00:00.000
CVE-1999-0130,1996-11-16T05:00:00.000
CVE-1999-1221,1996-11-17T05:00:00.000
CVE-1999-1099,1996-11-22T05:00:00.000
CVE-1999-1240,1996-11-26T05:00:00.000
CVE-1999-0050,1996-12-01T05:00:00.000
CVE-1999-0044,1996-12-03T05:00:00.000
CVE-1999-0129,1996-12-03T05:00:00.000
CVE-1999-0043,1996-12-04T05:00:00.000
CVE-1999-1401,1996-12-05T05:00:00.000
CVE-1999-0045,1996-12-10T05:00:00.000
CVE-1999-0096,1996-12-10T05:00:00.000
CVE-1999-0101,1996-12-10T05:00:00.000
CVE-1999-0297,1996-12-12T05:00:00.000
CVE-1999-1089,1996-12-13T05:00:00.000
CVE-1999-0128,1996-12-18T05:00:00.000
CVE-1999-0127,1996-12-19T05:00:00.000
CVE-1999-1385,1996-12-19T05:00:00.000
CVE-1999-1026,1996-12-20T05:00:00.000
CVE-1999-0260,1996-12-24T05:00:00.000
CVE-1999-1251,1996-12-24T05:00:00.000
CVE-1999-0100,1997-01-01T05:00:00.000
CVE-1999-0163,1997-01-01T05:00:00.000
CVE-1999-0166,1997-01-01T05:00:00.000
CVE-1999-0170,1997-01-01T05:00:00.000
CVE-1999-0171,1997-01-01T05:00:00.000
CVE-1999-0173,1997-01-01T05:00:00.000
CVE-1999-0178,1997-01-01T05:00:00.000
CVE-1999-0179,1997-01-01T05:00:00.000
CVE-1999-0180,1997-01-01T05:00:00.000
CVE-1999-0201,1997-01-01T05:00:00.000
CVE-1999-0202,1997-01-01T05:00:00.000
CVE-1999-0204,1997-01-01T05:00:00.000
CVE-1999-0217,1997-01-01T05:00:00.000
CVE-1999-0236,1997-01-01T05:00:00.000
CVE-1999-0249,1997-01-01T05:00:00.000
CVE-1999-0251,1997-01-01T05:00:00.000
CVE-1999-0252,1997-01-01T05:00:00.000
CVE-1999-0253,1997-01-01T05:00:00.000
CVE-1999-0265,1997-01-01T05:00:00.000
CVE-1999-0274,1997-01-01T05:00:00.000
CVE-1999-0345,1997-01-01T05:00:00.000
CVE-1999-0496,1997-01-01T05:00:00.000
CVE-1999-0499,1997-01-01T05:00:00.000
CVE-1999-0503,1997-01-01T05:00:00.000
CVE-1999-0504,1997-01-01T05:00:00.000
CVE-1999-0510,1997-01-01T05:00:00.000
CVE-1999-0511,1997-01-01T05:00:00.000
CVE-1999-0517,1997-01-01T05:00:00.000
CVE-1999-0518,1997-01-01T05:00:00.000
CVE-1999-0519,1997-01-01T05:00:00.000
CVE-1999-0521,1997-01-01T05:00:00.000
CVE-1999-0525,1997-01-01T05:00:00.000
CVE-1999-0534,1997-01-01T05:00:00.000
CVE-1999-0535,1997-01-01T05:00:00.000
CVE-1999-0550,1997-01-01T05:00:00.000
CVE-1999-0562,1997-01-01T05:00:00.000
CVE-1999-0572,1997-01-01T05:00:00.000
CVE-1999-0575,1997-01-01T05:00:00.000
CVE-1999-0576,1997-01-01T05:00:00.000
CVE-1999-0582,1997-01-01T05:00:00.000
CVE-1999-0626,1997-01-01T05:00:00.000
CVE-1999-1120,1997-01-04T05:00:00.000
CVE-1999-0051,1997-01-06T05:00:00.000
CVE-1999-1249,1997-01-06T05:00:00.000
CVE-1999-1145,1997-01-07T05:00:00.000
CVE-1999-1311,1997-01-07T05:00:00.000
CVE-1999-0049,1997-01-08T05:00:00.000
CVE-1999-1088,1997-01-09T05:00:00.000
CVE-1999-0081,1997-01-11T05:00:00.000
CVE-1999-0048,1997-01-27T05:00:00.000
CVE-1999-0966,1997-01-27T05:00:00.000
CVE-1999-0047,1997-01-28T05:00:00.000
CVE-1999-1144,1997-01-30T05:00:00.000
CVE-1999-0174,1997-02-01T05:00:00.000
CVE-1999-0309,1997-02-01T05:00:00.000
CVE-1999-0369,1997-02-01T05:00:00.000
CVE-1999-0959,1997-02-01T05:00:00.000
CVE-1999-1160,1997-02-02T05:00:00.000
CVE-1999-1299,1997-02-03T05:00:00.000
CVE-1999-0298,1997-02-05T05:00:00.000
CVE-1999-0046,1997-02-06T05:00:00.000
CVE-1999-0228,1997-02-07T05:00:00.000
CVE-1999-0109,1997-02-10T05:00:00.000
CVE-1999-0041,1997-02-13T05:00:00.000
CVE-1999-0868,1997-02-20T05:00:00.000
CVE-1999-0105,1997-03-01T05:00:00.000
CVE-1999-0106,1997-03-01T05:00:00.000
CVE-1999-0165,1997-03-01T05:00:00.000
CVE-1999-0318,1997-03-01T05:00:00.000
CVE-1999-0612,1997-03-01T05:00:00.000
CVE-1999-1128,1997-03-01T05:00:00.000
CVE-1999-1489,1997-03-04T05:00:00.000
CVE-1999-0299,1997-03-05T05:00:00.000
CVE-1999-1408,1997-03-05T05:00:00.000
CVE-1999-1525,1997-03-14T05:00:00.000
CVE-1999-0280,1997-04-01T05:00:00.000
CVE-1999-0292,1997-04-01T05:00:00.000
CVE-1999-0315,1997-04-01T05:00:00.000
CVE-1999-1387,1997-04-02T05:00:00.000
CVE-1999-0042,1997-04-07T04:00:00.000
CVE-1999-1298,1997-04-07T04:00:00.000
CVE-1999-0058,1997-04-17T04:00:00.000
CVE-1999-0149,1997-04-19T04:00:00.000
CVE-1999-0038,1997-04-26T04:00:00.000
CVE-1999-1296,1997-04-29T04:00:00.000
CVE-1999-0040,1997-05-01T04:00:00.000
CVE-1999-0112,1997-05-01T04:00:00.000
CVE-1999-1116,1997-05-03T04:00:00.000
CVE-1999-1380,1997-05-04T04:00:00.000
CVE-1999-1267,1997-05-05T04:00:00.000
CVE-1999-0039,1997-05-06T04:00:00.000
CVE-1999-1067,1997-05-07T04:00:00.000
CVE-1999-1398,1997-05-07T04:00:00.000
CVE-1999-1461,1997-05-07T04:00:00.000
CVE-1999-1286,1997-05-09T04:00:00.000
CVE-1999-1410,1997-05-09T04:00:00.000
CVE-1999-1158,1997-05-13T04:00:00.000
CVE-1999-1184,1997-05-13T04:00:00.000
CVE-1999-0962,1997-05-14T04:00:00.000
CVE-1999-1141,1997-05-15T04:00:00.000
CVE-1999-1232,1997-05-16T04:00:00.000
CVE-1999-1402,1997-05-17T04:00:00.000
CVE-1999-1191,1997-05-19T04:00:00.000
CVE-1999-1449,1997-05-19T04:00:00.000
CVE-1999-0037,1997-05-21T04:00:00.000
CVE-1999-0259,1997-05-23T04:00:00.000
CVE-1999-0036,1997-05-26T04:00:00.000
CVE-1999-0064,1997-05-26T04:00:00.000
CVE-1999-1143,1997-05-28T04:00:00.000
CVE-1999-0034,1997-05-29T04:00:00.000
CVE-1999-0035,1997-05-29T04:00:00.000
CVE-1999-0144,1997-06-01T04:00:00.000
CVE-1999-0227,1997-06-01T04:00:00.000
CVE-1999-0281,1997-06-01T04:00:00.000
CVE-1999-0799,1997-06-01T04:00:00.000
CVE-1999-0189,1997-06-04T04:00:00.000
CVE-1999-0275,1997-06-10T04:00:00.000
CVE-1999-0083,1997-06-11T04:00:00.000
CVE-1999-0033,1997-06-12T04:00:00.000
CVE-1999-1266,1997-06-13T04:00:00.000
CVE-1999-0957,1997-06-18T04:00:00.000
CVE-1999-1483,1997-06-19T04:00:00.000
CVE-1999-1192,1997-06-24T04:00:00.000
CVE-1999-1423,1997-06-26T04:00:00.000
CVE-1999-0074,1997-07-01T04:00:00.000
CVE-1999-0076,1997-07-01T04:00:00.000
CVE-1999-0111,1997-07-01T04:00:00.000
CVE-1999-0147,1997-07-01T04:00:00.000
CVE-1999-0150,1997-07-01T04:00:00.000
CVE-1999-0153,1997-07-01T04:00:00.000
CVE-1999-0156,1997-07-01T04:00:00.000
CVE-1999-0169,1997-07-01T04:00:00.000
CVE-1999-0184,1997-07-01T04:00:00.000
CVE-1999-0195,1997-07-01T04:00:00.000
CVE-1999-0219,1997-07-01T04:00:00.000
CVE-1999-0250,1997-07-01T04:00:00.000
CVE-1999-0526,1997-07-01T04:00:00.000
CVE-1999-0532,1997-07-01T04:00:00.000
CVE-1999-0533,1997-07-01T04:00:00.000
CVE-1999-0541,1997-07-01T04:00:00.000
CVE-1999-0628,1997-07-01T04:00:00.000
CVE-1999-1326,1997-07-04T04:00:00.000
CVE-1999-0031,1997-07-08T04:00:00.000
CVE-1999-0196,1997-07-08T04:00:00.000
CVE-1999-0176,1997-07-10T04:00:00.000
CVE-1999-1463,1997-07-10T04:00:00.000
CVE-1999-0059,1997-07-14T04:00:00.000
CVE-1999-0146,1997-07-15T04:00:00.000
CVE-1999-0025,1997-07-16T04:00:00.000
CVE-1999-0026,1997-07-16T04:00:00.000
CVE-1999-0027,1997-07-16T04:00:00.000
CVE-1999-0028,1997-07-16T04:00:00.000
CVE-1999-0029,1997-07-16T04:00:00.000
CVE-1999-0030,1997-07-16T04:00:00.000
CVE-1999-1182,1997-07-17T04:00:00.000
CVE-1999-0122,1997-07-21T04:00:00.000
CVE-1999-0247,1997-07-21T04:00:00.000
CVE-1999-1208,1997-07-21T04:00:00.000
CVE-1999-0971,1997-07-22T04:00:00.000
CVE-1999-1068,1997-07-23T04:00:00.000
CVE-1999-1217,1997-07-25T04:00:00.000
CVE-1999-1419,1997-07-30T04:00:00.000
CVE-1999-1308,1997-07-31T04:00:00.000
CVE-1999-0238,1997-08-01T04:00:00.000
CVE-1999-0301,1997-08-01T04:00:00.000
CVE-1999-0524,1997-08-01T04:00:00.000
CVE-1999-0566,1997-08-01T04:00:00.000
CVE-1999-1262,1997-08-01T04:00:00.000
CVE-1999-1446,1997-08-05T04:00:00.000
CVE-1999-0152,1997-08-11T04:00:00.000
CVE-1999-0024,1997-08-13T04:00:00.000
