report,threat_actor,malware,source,actor,aliases,description,technique_id,technique_name,cve_id,published,ioc,ioc_type,first_seen,pulse_name,created,modified,adversary
F-Secure_Dukes_Whitepaper.txt,APT29,CosmicDuke,entities.csv,,,,,,,,,,,,,,
F-Secure_Dukes_Whitepaper.txt,APT29,SeaDuke,entities.csv,,,,,,,,,,,,,,
F-Secure_Dukes_Whitepaper.txt,APT29,MiniDuke,entities.csv,,,,,,,,,,,,,,
MappingMITREToSandWormAPT.txt,Sandworm,NotPetya,entities.csv,,,,,,,,,,,,,,
GrizzlySteppe.txt,APT29,CosmicDuke,entities.csv,,,,,,,,,,,,,,
GrizzlySteppe.txt,APT29,SeaDuke,entities.csv,,,,,,,,,,,,,,
GrizzlySteppe.txt,APT29,MiniDuke,entities.csv,,,,,,,,,,,,,,
GrizzlySteppe.txt,Sandworm,CosmicDuke,entities.csv,,,,,,,,,,,,,,
GrizzlySteppe.txt,Sandworm,SeaDuke,entities.csv,,,,,,,,,,,,,,
GrizzlySteppe.txt,Sandworm,MiniDuke,entities.csv,,,,,,,,,,,,,,
FIN6-Security_Intelligence_8.txt,FIN6,TrickBot,entities.csv,,,,,,,,,,,,,,
FIN6-Security_Intelligence_8.txt,FIN6,Ryuk,entities.csv,,,,,,,,,,,,,,
FIN6-Security_Intelligence_8.txt,FIN6,Emotet,entities.csv,,,,,,,,,,,,,,
CrashOverride.txt,Sandworm,CrashOverride,entities.csv,,,,,,,,,,,,,,
FIN6-Cyware.txt,FIN6,Ryuk,entities.csv,,,,,,,,,,,,,,
WMIPowerShellBackdoors_POSHSPY.txt,APT29,POSHSPY,entities.csv,,,,,,,,,,,,,,
Please Confirm You Received Our APT _ FortiGuard Labs .txt,APT34,Emotet,entities.csv,,,,,,,,,,,,,,
Please Confirm You Received Our APT _ FortiGuard Labs .txt,OilRig,Emotet,entities.csv,,,,,,,,,,,,,,
Pick-Six Intercepting a FIN6 Intrusion.txt,FIN6,Ryuk,entities.csv,,,,,,,,,,,,,,
SixRussianGRUOfficers.txt,Sandworm,NotPetya,entities.csv,,,,,,,,,,,,,,
What is Ryuk Ransomware_ The Complete Breakdown.txt,Wizard Spider,TrickBot,entities.csv,,,,,,,,,,,,,,
What is Ryuk Ransomware_ The Complete Breakdown.txt,Wizard Spider,Ryuk,entities.csv,,,,,,,,,,,,,,
What is Ryuk Ransomware_ The Complete Breakdown.txt,Wizard Spider,Emotet,entities.csv,,,,,,,,,,,,,,
,,,mitre_groups.csv,Scattered Spider,"Scattered Spider, Roasted 0ktapus, Octo Tempest, Storm-0875, UNC3944",[Scattered Spider](https://attack.mitre.org/groups/G1015) is a native English-speaking cybercriminal group active since at least 2022. (Citation: CrowdStrike Scattered Spider Profile) (Citation: MSTIC Octo Tempest Operations October 2023) The group initially targeted customer relationship management,,,,,,,,,,,
,,,mitre_groups.csv,UNC788,UNC788,[UNC788](https://attack.mitre.org/groups/G1029) is a group of hackers from Iran that has targeted people in the Middle East.(Citation: Meta Adversarial Threat Report 2022),,,,,,,,,,,
,,,mitre_groups.csv,Earth Lusca,"Earth Lusca, TAG-22, Charcoal Typhoon, CHROMIUM, ControlX","[Earth Lusca](https://attack.mitre.org/groups/G1006) is a suspected China-based cyber espionage group that has been active since at least April 2019. [Earth Lusca](https://attack.mitre.org/groups/G1006) has targeted organizations in Australia, China, Hong Kong, Mongolia, Nepal, the Philippines, Taiw",,,,,,,,,,,
,,,mitre_groups.csv,Confucius,"Confucius, Confucius APT","[Confucius](https://attack.mitre.org/groups/G0142) is a cyber espionage group that has primarily targeted military personnel, high-profile personalities, business persons, and government organizations in South Asia since at least 2013. Security researchers have noted similarities between [Confucius]",,,,,,,,,,,
