ioc,ioc_type,malware,first_seen
bigfrogs.info,domain,Unknown Loader,2026-06-15 09:28:21
strayweirds.info,domain,Unknown Loader,2026-06-15 09:28:21
marmoteilefinance.com,domain,Unknown Loader,2026-06-15 09:28:21
mjwougwp.tarikhravannovin.shop,domain,ClearFake,2026-06-15 09:03:15
0dt4r35j.gavaedfagahe.xyz,domain,ClearFake,2026-06-15 09:02:11
pbh3hti8.gavaedfagahe.xyz,domain,ClearFake,2026-06-15 09:00:22
207.56.229.19:2375,ip:port,XMRIG,2026-06-15 08:44:22
77.223.99.43:2375,ip:port,XMRIG,2026-06-15 08:44:22
202.61.224.163:2375,ip:port,XMRIG,2026-06-15 08:44:22
41.110.4.106:2375,ip:port,XMRIG,2026-06-15 08:44:21
47.113.229.153:6379,ip:port,XMRIG,2026-06-15 08:44:20
138.197.39.208:80,ip:port,RedTail,2026-06-15 08:44:20
180.93.43.226:80,ip:port,RedTail,2026-06-15 08:44:19
181.104.43.225:80,ip:port,RedTail,2026-06-15 08:44:19
192.3.16.60:80,ip:port,RedTail,2026-06-15 08:44:18
195.54.179.244:80,ip:port,RedTail,2026-06-15 08:44:18
212.127.90.201:80,ip:port,RedTail,2026-06-15 08:44:17
http://cacywears.ga/index.php,url,SmokeLoader,2026-06-15 08:44:17
amrwjltv.tarikhcheravanshenasi.xyz,domain,ClearFake,2026-06-15 08:34:59
onnzlkiy.shartbandi.games,domain,ClearFake,2026-06-15 08:02:32
mukvsxft.sazebetonarme.xyz,domain,ClearFake,2026-06-15 07:25:34
173.44.139.144:3000,ip:port,SPICA,2026-06-15 07:03:56
45.133.216.15:3000,ip:port,SPICA,2026-06-15 07:03:55
95.164.17.94:3000,ip:port,SPICA,2026-06-15 07:03:55
89.19.211.240:3000,ip:port,SPICA,2026-06-15 07:03:55
tcp.tcptunnel.shop,domain,Unknown RAT,2026-06-15 07:03:54
185.188.155.179:4444,ip:port,Cobalt Strike,2026-06-15 07:03:51
https://infobhz.com.br/,url,Unknown malware,2026-06-15 07:03:50
43.228.79.138:8080,ip:port,Cobalt Strike,2026-06-15 07:00:18
lmgz1tb4.garatequran.xyz,domain,ClearFake,2026-06-15 06:59:59
fhprjdfj.sanjeshvaandazegiri.shop,domain,ClearFake,2026-06-15 06:52:48
151.239.24.141:9090,ip:port,Cobalt Strike,2026-06-15 06:51:55
45.202.1.194:80,ip:port,Cobalt Strike,2026-06-15 06:51:54
8.136.53.4:8000,ip:port,Cobalt Strike,2026-06-15 06:51:54
8.136.53.4:8888,ip:port,Cobalt Strike,2026-06-15 06:51:53
8.145.44.217:9999,ip:port,Cobalt Strike,2026-06-15 06:51:53
162.243.15.224:80,ip:port,Cobalt Strike,2026-06-15 06:51:33
43.228.79.138:80,ip:port,Cobalt Strike,2026-06-15 06:47:52
43.228.79.138:443,ip:port,Cobalt Strike,2026-06-15 06:47:51
43.228.79.138:808,ip:port,Cobalt Strike,2026-06-15 06:47:49
yqzbm.barnamenevisi.xyz,domain,ClearFake,2026-06-15 06:36:19
204.168.163.225:443,ip:port,Vidar,2026-06-15 06:25:14
178.104.208.168:443,ip:port,Vidar,2026-06-15 06:25:14
62.238.44.180:443,ip:port,Vidar,2026-06-15 06:25:14
178.104.211.206:443,ip:port,Vidar,2026-06-15 06:25:14
